jobTitle,department,earnings,year,serviceArea,hourlyWage,status
youth instructor,recreation,173.25,2016,community and operation services,NA,part time
utility worker/ parks,parks,172.5,2016,community and operation services,NA,part time
water safety instructor,recreation,172.01,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,171.6,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,165.1,2016,community and operation services,NA,part time
adult sports official/ ff,recreation,162,2016,community and operation services,NA,part time
equipment oper- strts/traffic,streets,162,2016,planning development & transportation,NA,part time
lcc professional stage hand,cultural services,161.2,2016,community and operation services,NA,part time
equipment operator/ golf,parks,161.15,2016,community and operation services,NA,part time
specialized instructor,recreation,160.42,2016,community and operation services,NA,part time
lcc stage hand,cultural services,160.2,2016,community and operation services,NA,part time
equipment operator/ golf,parks,159.2,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,157.3,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,157.3,2016,community and operation services,NA,part time
lcc stage hand,cultural services,156.6,2016,community and operation services,NA,part time
utility worker/ parks,parks,155,2016,community and operation services,NA,part time
lcc stage hand,cultural services,154.8,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,152.1,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,150.8,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,150.8,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,149.5,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,148.5,2016,community and operation services,NA,part time
lcc stage hand,cultural services,147,2016,community and operation services,NA,part time
lcc stage hand,cultural services,146.25,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,145.6,2016,community and operation services,NA,part time
clerical aide,cultural services,144.9,2016,community and operation services,NA,part time
aquatics manager,recreation,144.76,2016,community and operation services,NA,part time
fitness instructor,recreation,144,2016,community and operation services,NA,part time
aqua-fitness instructor,recreation,143.5,2016,community and operation services,NA,part time
adult sports field/gym supv,recreation,143,2016,community and operation services,NA,part time
swim instructor/private,recreation,141.41,2016,community and operation services,NA,part time
bus fueler,operation services,140,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,139.1,2016,community and operation services,NA,part time
equipment oper- strts/traffic,office of the chief,136,2016,police services,NA,part time
lcc professional stage hand,cultural services,135.2,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,135.2,2016,community and operation services,NA,part time
building inspector,comm dev & neighborhood svcs,133.95,2016,planning development & transportation,NA,part time
lcc professional stage hand,cultural services,133.9,2016,community and operation services,NA,part time
youth instructor,recreation,132.5,2016,community and operation services,NA,part time
lifeguard,recreation,132.34,2016,community and operation services,NA,part time
exhibit worker,cultural services,131.4,2016,community and operation services,NA,part time
swim instructor,recreation,131.1,2016,community and operation services,NA,part time
lcc stage hand,cultural services,131,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,130,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,130,2016,community and operation services,NA,part time
swim instructor/private,recreation,129.84,2016,community and operation services,NA,part time
water safety instructor,recreation,129.2,2016,community and operation services,NA,part time
lcc professional stage hand,cultural services,127.4,2016,community and operation services,NA,part time
